id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
990935487146379699,Rental unit in Albany · ★New · 1 bedroom · 1 bed · 1 bath,93905065,Grace,,SIXTH WARD,42.652599240074956,-73.761780139996,Entire home/apt,82,1,0,,,1,248,0,
992119832780871644,Rental unit in Albany · ★5.0 · 2 bedrooms · 2 beds · 1 bath,152762198,Allen,,FOURTEENTH WARD,42.6709773627501,-73.80695225761066,Entire home/apt,99,3,4,2023-12-03,1.30,8,116,4,
992554549672159765,Home in Albany · 4 bedrooms · 4 beds · 3.5 baths,476189412,Timothy,,SEVENTH WARD,42.64485687096462,-73.77281881169621,Entire home/apt,143,6,0,,,1,99,0,
993431459821117738,Rental unit in Albany · ★5.0 · 3 bedrooms · 4 beds · 1 bath,309980121,Ron,,SIXTH WARD,42.65623,-73.7641152,Entire home/apt,136,2,5,2023-12-22,1.76,1,270,5,
999161887055542119,Rental unit in Albany · ★5.0 · 1 bedroom · 1 bed · 1 bath,531209536,Amar,,THIRD WARD,42.65761589542138,-73.75115885472674,Entire home/apt,147,30,5,2023-11-05,1.85,1,349,5,
1004978540001566331,Home in Albany · 3 bedrooms · 2 beds · 2 baths,31318080,Cindy,,EIGHTH WARD,42.655497775508394,-73.8106566601018,Private room,200,1,0,,,1,261,0,
1005314747552182329,Rental unit in Albany · ★5.0 · 1 bedroom · 1 bed · 1 bath,462767507,Joshua,,SIXTH WARD,42.65483900711961,-73.7674333870007,Entire home/apt,70,1,5,2023-12-29,1.95,4,365,5,
1005978346817864540,Rental unit in Albany · ★4.50 · 4 bedrooms · 3 beds · 2 baths,44434571,Earl,,SECOND WARD,42.64534889999999,-73.75364650000002,Entire home/apt,181,1,6,2024-01-01,2.57,6,248,6,
1007354086435981132,Rental unit in Albany · ★4.50 · 4 bedrooms · 4 beds · 1 bath,232967878,Diana,,TENTH WARD,42.661365504548,-73.78482319521697,Entire home/apt,189,1,6,2023-12-10,2.86,19,270,6,
1010759793485911351,Home in Albany · ★4.63 · 1 bedroom · 1 bed · 3 baths,382970529,Thomas,,THIRTEENTH WARD,42.67002775509383,-73.7977054151877,Private room,55,2,8,2023-12-25,3.69,10,232,8,
1010759799610182054,Home in Albany · ★5.0 · 1 bedroom · 1 bed · 3 shared baths,382970529,Thomas,,THIRTEENTH WARD,42.6697096084112,-73.797549986088,Private room,55,1,12,2023-12-30,5.71,10,245,12,
1013659440189111738,Home in Albany · ★5.0 · 1 bedroom · 1 bed · 3 shared baths,382970529,Thomas,,FOURTEENTH WARD,42.66873116573401,-73.79930289371134,Private room,56,1,8,2023-12-30,3.87,10,149,8,
1014739415604882278,Rental unit in Albany · ★New · 1 bedroom · 1 bed · 1 bath,51050977,Manny,,NINTH WARD,42.6572643,-73.7769051,Entire home/apt,72,7,0,,,1,109,0,
1014871544925070480,Home in Albany · ★5.0 · 5 bedrooms · 3 beds · 3.5 baths,509662927,Sergio,,EIGHTH WARD,42.645494388571485,-73.83282736350908,Entire home/apt,390,1,7,2023-12-30,3.75,1,325,7,
1015040415785235963,Rental unit in Albany · ★New · 1 bedroom · 1 bed · 1 bath,539608284,Joyhefsiba,,THIRD WARD,42.66055503402607,-73.76233869351593,Entire home/apt,88,1,0,,,2,270,0,
1015385216942267174,Villa in Albany · ★New · 1 bedroom · 1 bed · Half-bath,182509542,Yan,,NINTH WARD,42.6558992,-73.7965699,Private room,24,1,0,,,1,89,0,
1016050146219474145,Rental unit in Albany · ★New · 1 bedroom · 1 bed · 1 bath,42708277,Rodney,,SIXTH WARD,42.65538680270734,-73.76416369206528,Entire home/apt,100,1,2,2023-11-08,0.95,2,347,2,
1018295677909928470,Home in Albany · ★5.0 · 1 bedroom · 1 bed · 3 baths,382970529,Thomas,,FOURTEENTH WARD,42.66792031298625,-73.79895760671212,Private room,58,1,8,2023-12-29,4.80,10,262,8,
1018299533220989494,Home in Albany · ★4.86 · 1 bedroom · 1 bed · 3 baths,382970529,Thomas,,THIRTEENTH WARD,42.66996089870569,-73.7981565369516,Private room,56,1,7,2023-12-22,3.75,10,253,7,
1018972187574908115,Rental unit in Albany · ★5.0 · 1 bedroom · 1 bed · 1 bath,37769478,Erion,,SIXTH WARD,42.6535,-73.77046,Entire home/apt,78,1,6,2023-12-29,3.67,8,359,6,
1020518500251473070,Rental unit in Albany · ★4.33 · 1 bedroom · 1 bed · 1 bath,233515764,Etem,,SECOND WARD,42.64713879857583,-73.7546608201248,Entire home/apt,52,1,3,2024-01-01,3,1,63,3,
1020993107237604444,Rental unit in Albany · ★New · 1 bedroom · 1 bed · 1 bath,47625981,Linda,,THIRD WARD,42.65859808957202,-73.76420635863742,Entire home/apt,120,1,1,2023-11-26,0.71,15,243,1,
1021011347006185640,Rental unit in Albany · ★New · 1 bedroom · 1 bed · 1 bath,47625981,Linda,,THIRD WARD,42.65970700274541,-73.76382104785372,Entire home/apt,119,1,1,2023-12-03,0.86,15,269,1,
1021559064135374208,Rental unit in Albany · ★New · 2 bedrooms · 3 beds · 1 bath,426253886,Aggie,,SECOND WARD,42.64655138980193,-73.7597240543698,Entire home/apt,92,1,0,,,3,262,0,
1023053182224590019,Home in Albany · ★5.0 · 3 bedrooms · 3 beds · 1 bath,496990578,Brian,,ELEVENTH WARD,42.66838,-73.77868,Entire home/apt,90,2,3,2024-01-01,2.57,1,77,3,
1027525160219619647,Rental unit in Albany · ★New · 1 bedroom · 1 bed · 1 bath,539608284,Joyhefsiba,,THIRD WARD,42.6605704874867,-73.76370206661538,Private room,53,1,0,,,2,269,0,
1028530521404077289,Rental unit in Albany · ★New · 2 bedrooms · 2 beds · 1 bath,462767507,Joshua,,SIXTH WARD,42.65487397780481,-73.76519868723663,Entire home/apt,88,3,2,2023-12-26,1.36,4,343,2,
1031769383031951534,Rental unit in Albany · ★New · 1 bedroom · 1 bed · 1 bath,542010451,Sophia,,THIRD WARD,42.65863677268644,-73.75184060852648,Entire home/apt,76,30,0,,,1,87,0,
1034722814589239236,Rental unit in Albany · ★New · 2 bedrooms · 2 beds · 2 baths,130404008,Michael,,THIRD WARD,42.65710530235223,-73.75132909012916,Entire home/apt,90,30,0,,,1,89,0,
1034818819017081948,Home in Albany · ★New · 3 bedrooms · 3 beds · 1 bath,392833833,Mary,,TWELFTH WARD,42.6759553661711,-73.79260844002489,Entire home/apt,118,2,1,2023-12-09,1,2,253,1,
1036082136099294311,Rental unit in Albany · ★New · 1 bedroom · 2 beds · 1 bath,4763049,Steve,,THIRD WARD,42.65477295784066,-73.74997242382096,Entire home/apt,89,2,0,,,1,90,0,
1040121861433023182,Rental unit in Albany · ★New · 1 bedroom · 1 bed · 1 bath,519143007,Philip,,ELEVENTH WARD,42.6736802909505,-73.78413107868002,Entire home/apt,79,1,1,2023-12-18,1,1,89,1,
1040624808363695229,Rental unit in Albany · ★New · Studio · 2 beds · 1 bath,42708277,Rodney,,SIXTH WARD,42.65446887973431,-73.76077862456057,Entire home/apt,67,1,0,,,2,217,0,
1041185569146627476,Home in Albany · ★New · 4 bedrooms · 6 beds · 1.5 baths,65282034,Archer,,TENTH WARD,42.66106893179246,-73.78973060044702,Entire home/apt,88,3,2,2023-12-30,2,1,83,2,
1043698525924990350,Home in Albany · ★New · 3 bedrooms · 4 beds · 1.5 baths,30218591,Rebecca,,FIFTEENTH WARD,42.6743202040481,-73.8155518362697,Entire home/apt,,2,0,,,1,22,0,
1045540313134380198,Rental unit in Albany · ★New · 1 bedroom · 1 bed · 1 shared bath,480004905,Ramiz,,ELEVENTH WARD,42.661442815090325,-73.77351291441055,Private room,50,1,0,,,1,269,0,
1051544181986274174,Rental unit in Albany · ★New · 1 bedroom · 1 bed · 1 bath,31994990,G.G.,,SEVENTH WARD,42.64478210549991,-73.7763956817521,Entire home/apt,73,15,0,,,1,92,0,
1052381112116173923,Home in Albany · ★New · 2 bedrooms · 2 beds · 1 bath,52464523,Dashima,,FIRST WARD,42.640812878490195,-73.7746275334913,Entire home/apt,70,30,1,2024-01-02,1,1,93,1,
1055481757202000214,Rental unit in Albany · ★New · 1 bedroom · 1 bed · 1 bath,28987572,Bryce,,SIXTH WARD,42.65098734769702,-73.76307767802679,Entire home/apt,118,2,0,,,1,270,0,
1056068682616336229,Home in Albany · ★New · 2 bedrooms · 1.5 baths,20536619,Emily,,THIRTEENTH WARD,42.671403853726794,-73.79431183637729,Private room,85,5,0,,,2,148,0,
1056469473906808728,Home in Albany · ★New · 1 bedroom · 1.5 shared baths,553112010,Linda,,TWELFTH WARD,42.71489625673386,-73.87648858665645,Private room,,2,0,,,1,268,0,
